|WNJT-FM     |88.1  MHz |FM |201 |ND  |-                   |A  |-  |LIC    |TRENTON                  |NJ |US |BLED   -19961001KE  |0.     kW |0.11   kW |0.0     |210.0   |48488      |N |40 |16 |58.00 |W |74  |41 |11.00 |NEW YORK PUBLIC RADIO                                                       |  13.91 km |   8.64 mi |277.39 deg |0.0    m|244.   m|-         |-       |1045124 |226.   m|233490    |
|WDNJ        |88.1  MHz |FM |201 |DA  |-                   |A  |-  |LIC    |HOPATCONG                |NJ |US |BLED   -20090205AAO |0.     kW |0.5    kW |0.0     |118.0   |121770     |N |40 |56 |25.00 |W |74  |36 |48.00 |YOUNGSHINE MEDIA, INC.                                                      |  75.16 km |  46.70 mi |354.29 deg |0.0    m|384.   m|70519     |0.      |1057470 |54.    m|1284041   |
|WZBL        |88.1  MHz |FM |201 |ND  |-                   |A  |-  |LIC    |BARNEGAT LIGHT           |NJ |US |BLED   -20101216ADA |0.1    kW |0.1    kW |13.0    |13.0    |176010     |N |39 |45 |3.00  |W |74  |7  |11.00 |HOPE CHRISTIAN CHURCH OF MARLTON, INC.                                      |  66.90 km |  41.57 mi |148.89 deg |15.    m|15.0   m|-         |-       |-       |12.    m|1412314   |
|WNJS-FM     |88.1  MHz |FM |201 |DA  |-                   |A  |-  |LIC    |BERLIN                   |NJ |US |BMLED  -20180717AAW |0.001  kW |0.08   kW |287.0   |287.0   |48486      |N |39 |43 |41.00 |W |74  |50 |39.00 |WHYY, INC.                                                                  |  65.77 km |  40.87 mi |204.56 deg |313.   m|313.0  m|80943     |0.      |1045125 |279.   m|1788332   |
|WYGG        |88.1  MHz |FM |201 |DA  |-                   |A  |-  |LIC    |ASBURY PARK              |NJ |US |BLED   -20180806ABF |0.001  kW |0.78   kW |39.0    |39.0    |19867      |N |40 |13 |2.00  |W |74  |0  |38.00 |MINORITY BUSINESS & HOUSING DEVELOPMENT, INC                                |  44.06 km |  27.38 mi | 97.05 deg |49.5   m|49.5   m|121773    |55.     |-       |44.5   m|1789754   |
|WPEB        |88.1  MHz |FM |201 |ND  |-                   |D  |-  |LIC    |PHILADELPHIA             |PA |US |BLED   -20170802ABB |0.     kW |0.01   kW |0.0     |21.0    |71637      |N |39 |56 |53.36 |W |75  |13 |8.88  |SCRIBE VIDEO CENTER, INC.                                                   |  69.01 km |  42.88 mi |239.28 deg |0.0    m|53.    m|-         |-       |-       |23.    m|1760308   |
|WVBH        |88.3  MHz |FM |202 |DA  |-                   |A  |-  |LIC    |BEACH HAVEN WEST         |NJ |US |BLED   -20030304AAT |0.001  kW |0.1    kW |130.0   |130.0   |89740      |N |39 |42 |56.00 |W |74  |17 |32.00 |PRIORITY RADIO, INC.                                                        |  64.34 km |  39.98 mi |162.05 deg |145.   m|145.0  m|15486     |0.      |1038028 |127.   m|1043225   |
|WBGO        |88.3  MHz |FM |202 |DA  |-                   |B1 |-  |LIC    |NEWARK                   |NJ |US |BLED   -20111213ABV |2.5    kW |2.5    kW |269.2   |269.2   |48699      |N |40 |45 |22.00 |W |73  |59 |12.00 |NEWARK PUBLIC RADIO INC.                                                    |  70.91 km |  44.06 mi | 39.70 deg |284.   m|284.0  m|104256    |0.      |1238745 |269.   m|1479131   |
|WXPN        |88.5  MHz |FM |203 |ND  |-                   |B  |-  |LIC    |PHILADELPHIA             |PA |US |BLED   -20140401AGY |2.65   kW |2.65   kW |365.0   |365.0   |68229      |N |40 |2  |19.30 |W |75  |14 |14.20 |THE TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA                              |  65.83 km |  40.90 mi |247.51 deg |428.   m|428.0  m|-         |-       |1026755 |352.   m|1631088   |
|WRSU-FM     |88.7  MHz |FM |204 |ND  |-                   |A  |-  |LIC    |NEW BRUNSWICK            |NJ |US |BLED   -1206        |1.35   kW |1.35   kW |38.0    |38.0    |4277       |N |40 |28 |0.00  |W |74  |26 |15.00 |BOARD OF GOVERNORS OF RUTGERS                                               |  23.38 km |  14.53 mi | 18.27 deg |62.    m|62.0   m|-         |-       |-       |30.    m|296639    |
|WEHA        |88.7  MHz |FM |204 |DA  |-                   |A  |-  |LIC    |PORT REPUBLIC            |NJ |US |BLED   -20120713ADH |0.8    kW |0.8    kW |67.9    |67.9    |87809      |N |39 |36 |17.50 |W |74  |26 |3.70  |SPREAD THE GOSPEL, INC.                                                     |  73.90 km |  45.92 mi |174.03 deg |74.4   m|74.4   m|106206    |0.      |1046068 |70.1   m|1504561   |
